Transaction_ID,Date,Timestamp,Txn_Ref_Number,Transaction_Mode,Currency,Transaction_Amount,Sender_Customer_ID,Sender_Customer_Name,Sender_Bank_Name,Sender_Account_Number,Sender_Account_Type,Sender_IFSC,Sender_Phone_Number,Receiver_Customer_ID,Receiver_Customer_Name,Receiver_Bank_Name,Receiver_Account_Number,Receiver_Account_Type,Receiver_IFSC,Receiver_Phone_Number
TXN2501013A3ZMF,2025-01-01,00:01:39,8MDD4V30T9NT,Cash Deposit,INR,36328.46,100001138,Rohan Pandey,HDFC Bank,318191906488,Savings,HDFC1188220,+919934674128,100002644,Kaushik Varghese,Canara Bank,520080212428,Savings,CNRB1008442,+919384954099
IMPS2501015LXO6Q,2025-01-01,00:17:55,JIUJV6OH9SDB,IMPS,INR,15133.91,100005826,Nirav Sharma,Union Bank of India,448152763331,Savings,UBIN7084011,+918945702124,100000497,Chhavi Ali,Punjab National Bank,405526846970,Savings,PUNB3846401,+918514351191
ATM250101Q85JSG,2025-01-01,00:24:04,65KXVF1T2TAL,ATM,INR,18515.99,100002792,Neeraj Bose,State Bank of India,396943410489,Savings,SBIN7828675,+918590507349,100000257,Sarita Sen,Canara Bank,740840042421,Savings,CNRB2430425,+916484603330
UPI250101CQ99CH,2025-01-01,01:12:15,J755NF4ZW9XA,UPI,INR,24181.49,100002448,Roshni Kaur,IndusInd Bank,105106806399,Salary,INDB1514290,+919256264316,100001256,Akhila Sawant,Union Bank of India,280801421276,Savings,UBIN8801994,+919154466498
TXN250101PJA1WJ,2025-01-01,01:22:49,0TPAC56T4UFE,Cash Deposit,INR,109487.44,100002547,Amira Rao,Axis Bank,562722742164,Savings,UTIB3699654,+916433419172,100005754,Ajay Sharma,ICICI Bank,961064882215,Savings,ICIC7360994,+916758605522
ATM250101QPGB7R,2025-01-01,03:11:19,3OCWBFUK9E1V,ATM,INR,681.17,100005038,Sanjay Paul,Punjab National Bank,638736093606,Savings,PUNB8569749,+916447047934,100000868,Chaitali D'Souza,Bank of Baroda,838488255236,Savings,BARB5392953,+918237244526
TXN250101MLY4LY,2025-01-01,03:40:51,K83TQLL8OS9X,Cash Deposit,INR,26361.31,100000159,Rajat Sahu,Bank of Baroda,664752700097,Savings,BARB2621739,+919499564599,100002538,Ankita Chauhan,Axis Bank,394372146820,Savings,UTIB3778570,+916543542858
ATM250101TD96QE,2025-01-01,03:47:22,3RZSJ49ITN7S,ATM,INR,499.34,100000915,Mihir Shaikh,Canara Bank,929352812828,Savings,CNRB4564679,+917160690081,100005983,Manju Rathod,Punjab National Bank,237113940558,Savings,PUNB9220511,+919314302188
ATM2501017LN23Y,2025-01-01,06:04:37,30YSXPNNGH8R,ATM,INR,17479.07,100005256,Hitesh Mishra,Union Bank of India,176580422754,Savings,UBIN8094810,+916971932873,100003040,Keshav Mathew,Bank of Baroda,100333679764,Savings,BARB4843478,+916995819189
ATM250101TZK3NY,2025-01-01,08:17:20,9V20YAR821UZ,ATM,INR,27554.66,100005851,Dhruv Parmar,Punjab National Bank,957322233426,Savings,PUNB9135305,+916684600330,100006816,Daksh Varghese,State Bank of India,278652908143,Savings,SBIN5124975,+916510536250
