CDR_ID,Call_Date,Call_Start_Time,A_Party_Number,B_Party_Number,Call_Type,Call_Duration_Seconds,IMSI,IMEI,First_BTS_Location,First_Cell_Global_ID,Roaming_Network_Circle
CDR202600000010,2025-08-18,06:01:45,+919543348878,+916937837972,VOICE,152,404369428835073,353216220039136,Delhi_BTS_006,404-45-548-922,Delhi
CDR202600000012,2025-12-19,08:39:17,+918839373225,+917539670608,VOICE,221,404442311813437,352196543537589,WestBengal_BTS_003,404-45-735-768,West Bengal
CDR202600000020,2025-02-21,21:08:11,+916316168850,+918917637941,VOICE,56,404082440143170,355716322763748,Maharashtra_BTS_008,404-45-799-664,Maharashtra
CDR202600000028,2025-07-25,20:16:44,+917921011784,+919722693016,VOICE,114,404535527281114,357798259705658,TamilNadu_BTS_004,404-45-513-123,Tamil Nadu
CDR202600000031,2025-05-18,12:01:33,+916186997295,+917233331922,VOICE,28,404609248080594,353782003990751,Rajasthan_BTS_008,404-45-981-113,Rajasthan
CDR202600000040,2025-12-22,21:41:00,+918998819735,+918770594376,VOICE,98,404374999963416,359473310591229,UttarPradesh_BTS_006,404-45-108-684,Uttar Pradesh
CDR202600000054,2025-06-15,03:40:58,+917108246205,+916861162202,SMS,0,404937076872196,359329111794583,WestBengal_BTS_004,404-45-522-026,West Bengal
CDR202600000064,2025-01-30,13:50:15,+916416972559,+917110206042,VOICE,63,404484192780684,353352510328825,UttarPradesh_BTS_003,404-45-736-577,Uttar Pradesh
CDR202600000083,2025-03-26,07:18:00,+918038021334,+917906523487,SMS,0,404466639978406,352870361731726,Mumbai_BTS_002,404-45-702-226,Mumbai
CDR202600000090,2025-01-03,21:45:55,+918890247937,+916620449138,VOICE,189,404982579988976,351289975050541,TamilNadu_BTS_001,404-45-698-489,Tamil Nadu
CDR202600000093,2025-07-27,09:57:17,+919180002437,+919862546050,VOICE,52,404208698233021,353983382361384,Rajasthan_BTS_019,404-45-119-115,Rajasthan
CDR202600000100,2025-11-11,07:43:56,+917922676193,+916512704513,VOICE,138,404988532983129,354133818053888,UttarPradesh_BTS_001,404-45-371-406,Uttar Pradesh
CDR202600000116,2025-11-14,17:24:32,+918261018158,+916618794445,SMS,0,404407947579052,351884425696727,UttarPradesh_BTS_004,404-45-170-901,Uttar Pradesh
CDR202600000122,2025-11-22,03:27:48,+917826916923,+918447532959,SMS,0,404984001382747,350776938575879,WestBengal_BTS_009,404-45-571-359,West Bengal
CDR202600000155,2025-07-14,13:26:31,+917039452657,+919972880601,VOICE,28,404858712022109,358460283729650,Rajasthan_BTS_007,404-45-697-409,Rajasthan
CDR202600000198,2025-07-19,12:25:39,+917838092720,+917278712227,VOICE,13,404437013938350,355604528438772,Mumbai_BTS_011,404-45-287-286,Mumbai
CDR202600000201,2025-06-06,15:49:19,+916544428627,+918499989574,MISSED,0,404449379788765,357553918925184,Rajasthan_BTS_001,404-45-801-333,Rajasthan
CDR202600000235,2025-02-01,12:27:08,+919686240092,+919384855691,VOICE,328,404141156656873,352964962748550,Rajasthan_BTS_016,404-45-619-624,Rajasthan
CDR202600000239,2025-11-28,03:46:27,+917459240913,919551126024,VOICE,19,404238516403650,352583236938253,WestBengal_BTS_006,404-45-906-719,West Bengal
CDR202600000266,2025-12-22,12:52:45,+916856748346,+916045551968,VOICE,21,404010275344440,352396657932851,Gujarat_BTS_006,404-45-818-559,Gujarat
CDR202600000267,2025-09-27,07:07:15,+917345321729,+919761446279,SMS,0,404400175986968,359760698860219,Delhi_BTS_006,404-45-223-254,Delhi
CDR202600000269,2025-06-25,02:54:38,+916771922145,+916419503238,VOICE,14,404006607586349,356076787321251,WestBengal_BTS_006,404-45-373-164,West Bengal
CDR202600000295,2025-09-24,07:57:17,+917074279351,+918389681306,VOICE,153,404733520790615,353399590268932,Mumbai_BTS_011,404-45-243-433,Mumbai
CDR202600000330,2025-06-26,12:55:20,+917615893220,+917758245655,VOICE,40,404489415582765,356914301005088,Rajasthan_BTS_017,404-45-897-945,Rajasthan
CDR202600000334,2025-03-01,05:17:33,+917719582304,+919955856036,SMS,0,404141578438189,356658309701361,Mumbai_BTS_007,404-45-584-827,Mumbai
CDR202600000347,2025-01-04,07:58:19,+918741550706,917746151048,VOICE,120,404503668221584,357972942224507,WestBengal_BTS_009,404-45-571-359,West Bengal
CDR202600000357,2025-07-08,16:55:07,+917545752288,+919833230612,VOICE,53,404475113780964,352800270256052,Mumbai_BTS_011,404-45-573-256,Mumbai
CDR202600000384,2025-01-20,10:31:05,+916026163308,+919306339691,VOICE,69,404200076173034,359000273871296,Rajasthan_BTS_004,404-45-835-323,Rajasthan
CDR202600000392,2025-08-15,18:34:32,+917853209083,+918847017234,VOICE,43,404000619432812,356610058589581,UttarPradesh_BTS_004,404-45-457-903,Uttar Pradesh
CDR202600000399,2025-01-20,16:00:05,+917871367367,+916906896879,VOICE,67,404333102455694,359277956937867,Maharashtra_BTS_008,404-45-818-960,Maharashtra
CDR202600000412,2025-12-10,02:26:28,+917177023411,+918365467938,VOICE,166,404620998741764,352952570631966,WestBengal_BTS_006,404-45-373-164,West Bengal
CDR202600000473,2025-09-12,04:49:46,+917261310519,+919099798724,VOICE,124,404016051763377,358576978158239,Rajasthan_BTS_005,404-45-505-906,Rajasthan
CDR202600000482,2025-04-10,18:34:52,+918644753678,+919794732472,SMS,0,404351258123474,359066942631623,Karnataka_BTS_006,404-45-813-981,Karnataka
CDR202600000485,2025-12-11,17:18:28,+918742144142,+919881228463,VOICE,145,404524631117047,353683859932087,Rajasthan_BTS_014,404-45-839-897,Rajasthan
CDR202600000506,2025-01-28,03:09:09,+917214613995,+918310372935,SMS,0,404000816632428,351630794046504,Rajasthan_BTS_016,404-45-619-624,Rajasthan
CDR202600000509,2025-11-09,21:26:45,+919840755464,+919685948210,VOICE,5,404840801033483,350312434611115,Rajasthan_BTS_018,404-45-713-332,Rajasthan
CDR202600000512,2025-09-15,10:58:35,+919685948210,+918764403762,VOICE,159,404969546620187,355494841110764,Rajasthan_BTS_013,404-45-448-115,Rajasthan
CDR202600000520,2025-08-09,22:38:07,+918739072677,+918086119754,SMS,0,404567982481979,359907274249144,Rajasthan_BTS_003,404-45-924-324,Rajasthan
CDR202600000529,2025-06-08,03:13:21,+919289658822,+918370544176,VOICE,499,404741769507509,350081289203775,Mumbai_BTS_010,404-45-919-883,Mumbai
CDR202600000532,2025-01-06,19:36:14,+918522730869,+916243340467,VOICE,77,404443251673896,359455671117815,Rajasthan_BTS_010,404-45-641-258,Rajasthan
