CDR_ID,Call_Date,Call_Start_Time,A_Party_Number,B_Party_Number,Call_Type,Call_Duration_Seconds,IMSI,IMEI,First_BTS_Location,First_Cell_Global_ID,Roaming_Network_Circle
CDR202600000020,2025-02-21,21:08:11,+916316168850,+918917637941,VOICE,56,404082440143170,355716322763748,Maharashtra_BTS_008,404-45-799-664,Maharashtra
CDR202600000042,2025-11-25,05:30:10,+918270857685,+918571064256,VOICE,135,404717231005437,358524930868103,Delhi_BTS_006,404-45-548-922,Delhi
CDR202600000047,2025-02-18,18:58:42,+918589919306,+916807387424,VOICE,184,404280161891579,357311273597473,Rajasthan_BTS_019,404-45-951-827,Rajasthan
CDR202600000054,2025-06-15,03:40:58,+917108246205,+916861162202,SMS,0,404937076872196,359329111794583,WestBengal_BTS_004,404-45-522-026,West Bengal
CDR202600000077,2025-05-21,08:10:08,+918160543442,+916074672501,VOICE,155,404943515003843,354513041733219,Maharashtra_BTS_008,404-45-799-664,Maharashtra
CDR202600000103,2025-07-11,22:07:15,+919066308574,+918357334243,SMS,0,404394014161321,352965587417531,WestBengal_BTS_002,404-45-355-683,West Bengal
CDR202600000111,2025-11-03,08:23:06,+917964837192,+916720582936,SMS,0,404746795190620,350005151791985,TamilNadu_BTS_004,404-45-683-253,Tamil Nadu
CDR202600000151,2025-08-16,20:11:25,+917896773158,+919095638704,VOICE,33,404078308997938,358412934771356,Karnataka_BTS_008,404-45-693-754,Karnataka
CDR202600000154,2025-07-13,20:05:11,+916015450890,+917021932231,VOICE,300,404750997518237,359822844509046,Delhi_BTS_006,404-45-223-254,Delhi
CDR202600000155,2025-07-14,13:26:31,+917039452657,+919972880601,VOICE,28,404858712022109,358460283729650,Rajasthan_BTS_007,404-45-697-409,Rajasthan
CDR202600000162,2025-04-30,10:10:08,+918024556229,+916793257571,VOICE,42,404301721751574,355847288691510,Rajasthan_BTS_002,404-45-334-842,Rajasthan
CDR202600000175,2025-01-20,01:05:54,+917215930461,+917001748325,VOICE,83,404410614310106,354423306457496,Rajasthan_BTS_019,404-45-951-827,Rajasthan
CDR202600000187,2025-04-16,06:23:13,+919296970509,+918431994101,VOICE,36,404911766561424,355404804666467,WestBengal_BTS_006,404-45-373-164,West Bengal
CDR202600000227,2025-05-18,01:15:36,+919019032610,+918086467700,VOICE,97,404829339959359,358068801797683,Maharashtra_BTS_006,404-45-987-104,Maharashtra
CDR202600000239,2025-11-28,03:46:27,+917459240913,919551126024,VOICE,19,404238516403650,352583236938253,WestBengal_BTS_006,404-45-906-719,West Bengal
CDR202600000241,2025-12-29,14:05:57,+919966441687,+917575555463,VOICE,195,404523052985527,355324421848994,Rajasthan_BTS_012,404-45-798-907,Rajasthan
CDR202600000254,2025-06-20,14:43:22,+916900513165,+917477947161,VOICE,11,404830836332809,357164467703446,UttarPradesh_BTS_007,404-45-999-138,Uttar Pradesh
CDR202600000262,2025-05-09,21:29:38,+917138188895,+917780325783,MISSED,0,404924548066336,352075730411539,Mumbai_BTS_006,404-45-235-741,Mumbai
CDR202600000271,2025-01-08,02:44:49,+918183633954,+919755692262,VOICE,188,404363192376997,353402632310840,WestBengal_BTS_001,404-45-230-043,West Bengal
CDR202600000278,2025-03-10,21:56:09,+917902175203,+918449702682,VOICE,166,404333792969553,352836061054866,Rajasthan_BTS_019,404-45-119-115,Rajasthan
CDR202600000302,2025-11-01,06:17:54,+918593080529,+916522164773,VOICE,57,404048573769166,357492573011904,Rajasthan_BTS_011,404-45-796-739,Rajasthan
CDR202600000316,2025-08-18,04:38:30,+919362518010,+916439825779,VOICE,120,404600340362263,355275595583717,Mumbai_BTS_007,404-45-516-195,Mumbai
CDR202600000347,2025-01-04,07:58:19,+918741550706,917746151048,VOICE,120,404503668221584,357972942224507,WestBengal_BTS_009,404-45-571-359,West Bengal
CDR202600000359,2025-09-07,09:10:59,+918357334243,+917744698471,VOICE,37,404430486556384,353829551928360,TamilNadu_BTS_005,404-45-734-084,Tamil Nadu
CDR202600000371,2025-10-04,09:58:07,+917946672758,+917164305697,SMS,0,404788202702595,358935572790234,WestBengal_BTS_003,404-45-342-886,West Bengal
CDR202600000374,2025-06-13,20:48:55,+917447036398,+917987572919,MISSED,0,404586519026425,350469480920838,Delhi_BTS_005,404-45-830-320,Delhi
CDR202600000377,2025-12-23,17:06:07,+917074707241,+918506148970,VOICE,165,404620166196158,352380867829352,Delhi_BTS_002,404-45-878-546,Delhi
CDR202600000387,2025-03-09,03:33:42,+919298342479,+918428693441,VOICE,30,404499213326899,350199550923964,Rajasthan_BTS_005,404-45-771-512,Rajasthan
CDR202600000412,2025-12-10,02:26:28,+917177023411,+918365467938,VOICE,166,404620998741764,352952570631966,WestBengal_BTS_006,404-45-373-164,West Bengal
CDR202600000414,2025-05-15,12:09:17,+918130444799,+919948372283,VOICE,195,404626996628807,356707391539797,Gujarat_BTS_006,404-45-833-666,Gujarat
CDR202600000419,2025-11-05,14:38:49,+917010090110,+917806464417,VOICE,254,404057680497100,355646612377514,WestBengal_BTS_005,404-45-521-822,West Bengal
CDR202600000420,2025-10-24,21:18:12,+917294147233,+918335471524,VOICE,536,404901811282027,350792612906733,Gujarat_BTS_007,404-45-703-285,Gujarat
CDR202600000432,2025-11-14,23:12:53,+918690343592,+917194014111,VOICE,112,404189037513872,352066676223449,Delhi_BTS_003,404-45-371-541,Delhi
CDR202600000437,2025-09-13,21:10:14,+919921386123,+918413233991,VOICE,186,404036017873742,357544410433316,UttarPradesh_BTS_002,404-45-174-010,Uttar Pradesh
CDR202600000449,2025-08-29,18:45:34,+917060125638,+916662607238,VOICE,514,404189156173647,358326118365801,Karnataka_BTS_005,404-45-371-949,Karnataka
CDR202600000470,2025-05-08,23:24:08,+917408328404,+918553509816,SMS,0,404342110637304,354475897725531,Maharashtra_BTS_001,404-45-204-095,Maharashtra
