IPDR_ID,Session_Date,Session_Start_Time,Subscriber_IMSI,Subscriber_MSISDN,Device_IMEI,Source_IP_Address,Destination_IP_Address,Destination_Port,Cell_Global_ID,Session_Duration_Seconds
IPDR202600000052,2025-02-21,07:51:20,404806277564089,+918991184310,357517691970651,10.235.180.105,203.0.113.92,443,404-45-680-898,6
IPDR202600000060,2025-12-31,05:47:15,404534663469013,+916703033328,350884351870079,10.191.176.119,203.0.113.231,443,404-45-158-052,32
IPDR202600000063,2025-06-13,02:25:05,404717231005437,+918270857685,358524930868103,10.211.153.54,203.0.113.142,443,404-45-553-828,28
IPDR202600000081,2025-07-04,15:28:32,404844149088194,+918863550419,358791436619593,10.11.120.95,198.51.100.218,443,404-45-446-022,7
IPDR202600000122,2025-05-11,00:52:57,404280346011393,+919585724533,352334029780744,10.149.198.233,203.0.113.137,443,404-45-489-285,38
IPDR202600000135,2025-09-05,19:08:51,404301434768971,+919215365161,350380620195443,10.108.162.238,203.0.113.74,443,404-45-522-026,8
IPDR202600000151,2025-10-18,22:27:11,404824972666194,+917433422977,350643031565003,10.53.15.153,203.0.113.162,443,404-45-678-536,6
IPDR202600000157,2025-11-13,05:54:34,404468687189613,+918335058737,358685348288295,10.228.226.246,198.51.100.110,443,404-45-597-493,6
IPDR202600000180,2025-10-31,14:34:35,404498096191357,+917528234171,350850199774429,10.154.157.43,198.51.100.241,80,404-45-334-070,13
IPDR202600000199,2025-10-01,10:40:47,404322203378252,+918014088964,357231241677195,10.145.72.178,198.51.100.62,443,404-45-785-498,46
IPDR202600000203,2025-01-29,04:47:53,404906222125342,+917392229228,354762835963572,10.207.201.56,203.0.113.40,443,404-45-243-433,36
IPDR202600000206,2025-09-16,01:39:55,404046824254908,+917511213964,354695094851282,10.252.96.199,203.0.113.59,443,404-45-605-094,13
IPDR202600000223,2025-04-09,17:29:24,404626033355371,+919507571068,353296689410159,10.241.90.19,198.51.100.121,80,404-45-160-169,6
IPDR202600000240,2025-01-03,19:04:12,404960432794442,+918825273229,353139579920692,10.91.31.111,198.51.100.123,80,404-45-108-684,8
IPDR202600000257,2025-04-09,21:40:45,404331985646878,+919489086183,356556018369483,10.248.197.133,198.51.100.239,80,404-45-887-657,15
IPDR202600000265,2025-05-28,10:26:21,404348804437862,+918513652338,358559391348291,10.241.169.212,198.51.100.183,53,404-45-902-804,17
IPDR202600000271,2025-03-22,21:24:04,404207652835216,+916605441163,355094604612376,10.226.40.56,198.51.100.165,80,404-45-208-892,18
IPDR202600000274,2025-08-20,22:25:37,404127083355935,+918845391323,356904855075656,10.235.82.65,203.0.113.74,123,404-45-799-664,34
IPDR202600000292,2025-10-27,14:56:21,404144024460926,+917732595884,350371123607148,10.242.31.184,198.51.100.185,443,404-45-641-258,1
IPDR202600000293,2025-10-17,15:02:27,404856472839696,+918022471766,350571291207959,10.90.201.145,198.51.100.162,443,404-45-961-655,17
IPDR202600000304,2025-07-06,08:58:21,404188013585501,+919182452649,355731528985124,10.132.115.29,198.51.100.177,80,404-45-282-520,16
IPDR202600000311,2025-10-01,17:09:19,404245556217118,+916720582936,353140537561877,10.99.235.165,198.51.100.137,80,404-45-491-894,18
IPDR202600000334,2025-12-03,15:47:23,404690884726857,+916237834522,359815806300203,10.207.64.15,203.0.113.178,443,404-45-230-043,39
IPDR202600000336,2025-12-10,08:46:27,404622854988890,+917056715552,358499035498144,10.195.67.52,203.0.113.219,8080,404-45-799-664,8
IPDR202600000366,2025-01-28,19:44:11,404255406589881,+918579835476,352951365294377,10.190.132.109,203.0.113.160,443,404-45-773-598,23
IPDR202600000391,2025-06-05,22:01:56,404943595860397,+918335471524,350947287373773,10.77.192.133,203.0.113.83,443,404-45-376-948,17
IPDR202600000395,2025-11-13,04:13:00,404519479209216,+916514838556,358609670962795,10.33.153.6,203.0.113.244,53,404-45-473-167,40
IPDR202600000413,2025-09-19,22:09:59,404801134284088,+919718897270,350389702821913,10.89.16.52,198.51.100.23,80,404-45-258-948,24
IPDR202600000421,2025-08-07,02:21:49,404250955064612,+917885171272,356429030607783,10.115.94.45,203.0.113.143,443,404-45-649-128,5
IPDR202600000427,2025-08-03,07:27:59,404892904595360,+918308270030,355120078390467,10.201.183.229,198.51.100.243,80,404-45-798-907,14
IPDR202600000436,2025-12-26,21:17:27,404300837083033,+918438901003,353626590330348,10.18.206.166,203.0.113.58,123,404-45-489-285,1
IPDR202600000437,2025-11-21,03:51:43,404377582452181,+916382761185,355142288190247,10.51.21.228,203.0.113.242,123,404-45-108-684,17
IPDR202600000459,2025-09-24,09:00:10,404248064008768,+916067587903,357885839048422,10.128.65.9,198.51.100.210,53,404-45-283-755,105
IPDR202600000493,2025-05-31,00:09:55,404427612501710,+918319347801,352676222249402,10.216.73.85,203.0.113.125,53,404-45-308-704,11
IPDR202600000521,2025-01-08,15:28:49,404209485506141,+919972880601,359865851211506,10.196.177.15,203.0.113.254,443,404-45-553-828,8
IPDR202600000533,2025-06-18,08:24:36,404518670939366,+916306053410,350739963840208,10.155.79.42,203.0.113.48,5228,404-45-710-480,10
IPDR202600000536,2025-10-29,09:07:37,404518562937421,+918343281375,353258346795938,10.251.180.174,203.0.113.198,443,404-45-266-820,3
IPDR202600000539,2025-06-04,11:01:51,404069041709405,+919278431420,354432865155105,10.160.193.219,198.51.100.103,443,404-45-107-073,6
IPDR202600000559,2025-08-13,00:13:28,404527957813229,+918519651226,359635510843649,10.229.159.176,198.51.100.114,80,404-45-693-754,9
IPDR202600000562,2025-06-27,12:49:08,404030644263963,+918172548486,354835062021205,10.81.166.253,198.51.100.228,5228,404-45-553-828,33
IPDR202600000623,2025-06-09,00:03:47,404336734181053,+916383468041,356868615408500,10.203.67.41,203.0.113.90,443,404-45-371-406,4
IPDR202600000631,2025-02-18,22:07:58,404003519968866,+916806991506,357745376422967,10.3.92.220,203.0.113.198,443,404-45-704-433,5
IPDR202600000671,2025-05-26,10:07:26,404350879380965,+917526993300,357701262808904,10.160.241.76,198.51.100.28,8080,404-45-315-699,31
IPDR202600000679,2025-05-28,10:49:03,404172382544619,+917312600520,350637104047368,10.85.30.163,203.0.113.175,53,404-45-597-493,31
IPDR202600000684,2025-05-10,08:56:51,404621891072829,+919816426523,357498495138358,10.187.4.80,198.51.100.148,443,404-45-265-760,49
IPDR202600000694,2025-11-04,07:25:50,404530150497959,+917103776964,353207339910650,10.145.163.64,203.0.113.129,53,404-45-423-958,18
IPDR202600000705,2025-10-17,15:05:12,404856472839696,+918022471766,350571291207959,10.255.101.61,198.51.100.37,443,404-45-564-004,11
IPDR202600000762,2025-02-26,14:20:09,404774265928524,+919723688493,351073209737819,10.6.67.110,203.0.113.59,443,404-45-726-827,13
IPDR202600000765,2025-09-01,07:26:27,404248219280678,+918741500918,351978443987371,10.41.119.195,203.0.113.64,443,404-45-181-876,2
IPDR202600000774,2025-06-29,00:01:54,404254063758942,+919501198753,355744868365649,10.187.85.181,203.0.113.1,80,404-45-170-901,9
IPDR202600000779,2025-06-07,04:01:04,404681468789442,+919479144574,356726898037146,10.219.80.37,198.51.100.108,443,404-45-270-417,14
IPDR202600000851,2025-07-06,08:36:35,404188013585501,+919182452649,355731528985124,10.185.140.122,198.51.100.37,53,404-45-282-520,11
IPDR202600000859,2025-01-05,02:51:42,404662760728249,+917222344178,350935289469068,10.177.127.245,203.0.113.18,443,404-45-967-353,44
IPDR202600000878,2025-06-19,00:55:20,404185534368252,+918761259355,353132251803029,10.112.50.84,203.0.113.122,80,404-45-665-301,11
IPDR202600000881,2025-08-05,11:15:09,404314479510459,+919860882785,359925939009870,10.107.105.39,198.51.100.202,443,404-45-993-622,11
IPDR202600000923,2025-03-12,08:53:22,404684433685753,+918766619742,357366942142591,10.241.193.144,203.0.113.138,80,404-45-107-073,53
IPDR202600000957,2025-10-18,02:58:49,404282479894564,+916853654496,352052770697393,10.32.194.121,203.0.113.162,80,404-45-919-883,12
IPDR202600000961,2025-01-26,23:44:37,404425114296387,+916458660215,359706698226039,10.88.121.24,198.51.100.176,443,404-45-949-644,31
IPDR202600000965,2025-07-20,15:59:29,404701041975815,+919377120878,359742313395500,10.199.16.173,198.51.100.37,123,404-45-533-850,1
IPDR202600000968,2025-03-17,23:45:28,404808539296184,+919182096720,353163836686566,10.66.250.17,198.51.100.246,8443,404-45-646-747,5
IPDR202600000985,2025-05-31,19:56:15,404824972666194,+917433422977,350643031565003,10.26.99.48,198.51.100.63,53,404-45-170-901,8
IPDR202600001032,2025-10-16,08:38:02,404896104187648,+919985306500,359026709068948,10.230.230.181,198.51.100.41,80,404-45-479-364,2
IPDR202600001048,2025-02-18,16:51:41,404626996628807,+918130444799,356707391539797,10.44.32.176,198.51.100.217,443,404-45-415-374,9
IPDR202600001092,2025-11-24,17:52:59,404372349320132,+917650607684,359539179295784,10.64.12.144,198.51.100.204,443,404-45-233-653,3
IPDR202600001169,2025-09-05,03:26:10,404108407886356,+919970545693,358511820657404,10.215.1.29,198.51.100.117,443,404-45-316-936,6
IPDR202600001170,2025-06-09,04:51:14,404441017823209,+917806464417,358000012030360,10.227.139.161,198.51.100.116,443,404-45-878-546,2
IPDR202600001204,2025-04-07,19:40:52,404602791659536,+918883222397,359488364481732,10.141.81.184,203.0.113.75,443,404-45-130-096,27
IPDR202600001230,2025-01-02,20:23:03,404148842545946,+916485367456,350916083813826,10.125.67.234,203.0.113.232,443,404-45-848-803,14
IPDR202600001231,2025-09-13,11:43:23,404009175258690,+917744360064,352818688184978,10.58.171.80,198.51.100.91,80,404-45-924-324,95
IPDR202600001267,2025-08-19,04:23:13,404701041975815,+919377120878,350956831409566,10.142.25.16,198.51.100.188,443,404-45-522-026,5
IPDR202600001279,2025-08-16,20:08:35,404547143300286,+916187949263,355413855407668,10.93.201.174,203.0.113.151,8443,404-45-835-499,37
IPDR202600001283,2025-04-24,22:27:41,404387050182283,+918132420926,354164549934649,10.31.37.107,203.0.113.94,443,404-45-995-946,4
IPDR202600001291,2025-01-27,18:32:59,404498940236266,+917163892412,351307609436868,10.73.85.246,198.51.100.248,443,404-45-414-246,40
IPDR202600001322,2025-01-13,12:07:10,404487057579608,+919803539059,352707989201744,10.68.181.24,198.51.100.42,8443,404-45-652-774,4
IPDR202600001340,2025-01-22,00:41:51,404552732472405,+917934673445,350452209046932,10.133.172.70,203.0.113.242,443,404-45-995-946,3
IPDR202600001370,2025-05-23,17:00:01,404012838515484,+916259069265,355969829135797,10.97.74.33,198.51.100.207,443,404-45-565-293,4
IPDR202600001371,2025-01-22,08:33:28,404759768258383,+919677767865,351354997031773,10.89.238.39,203.0.113.106,443,404-45-246-272,28
