CDR_ID,Timestamp,Account_ID,Caller_Number,Callee_Number,Duration_Seconds,Call_Type,Cell_ID,Location_Area,Data_Volume_MB,Roaming_Indicator,IMEI,IMSI
CDR_00000000,2023-01-01 02:41:56,ACC_00426,+15520293013,+18113357220,49.0,DATA,CELL_00043,NYC,25.34,0,447965416072984,313314749574553
CDR_00000001,2023-01-01 04:22:26,ACC_00446,+16878479699,+19265173196,37.0,ROAMING,CELL_00140,LA,97.9,0,350425177724657,310619551737564
CDR_00000002,2023-01-01 04:32:57,ACC_00006,+17977658213,+18833209932,131.0,DATA,CELL_00326,NYC,96.13,0,959717752970768,311969713035826
CDR_00000003,2023-01-01 11:12:39,ACC_00392,+18427276685,+18334023934,13.0,VOICE,CELL_00360,SEA,75.94,0,867422920722578,311286462951225
CDR_00000004,2023-01-01 13:20:33,ACC_00063,+18544234123,+14506622119,121.0,ROAMING,CELL_00488,NYC,64.19,0,563638833464658,313296709835271
CDR_00000005,2023-01-01 13:58:03,ACC_00008,+19905316187,+15517057281,77.0,VOICE,CELL_00314,HOU,69.5,0,845484053695241,310164267816233
CDR_00000006,2023-01-01 15:22:32,ACC_00422,+16453404168,+14986255663,16.0,DATA,CELL_00028,LA,5.95,0,536461732434474,310568718101545
CDR_00000007,2023-01-01 16:18:07,ACC_00395,+14985072091,+18081046970,95.0,ROAMING,CELL_00318,CHI,45.9,0,884028868471210,314051514164960
CDR_00000008,2023-01-01 17:01:29,ACC_00081,+12647025039,+12447191266,325.0,SMS,CELL_00271,BOS,27.19,0,912942120639775,313657910291171
CDR_00000009,2023-01-01 18:43:59,ACC_00067,+13855027501,+19566248602,46.0,DATA,CELL_00008,BOS,15.19,0,637155361720915,310128092565068
CDR_00000010,2023-01-01 19:39:17,ACC_00258,+16888576894,+16903898830,10.0,SMS,CELL_00354,NYC,14.52,0,752019812093839,313810840349759
CDR_00000011,2023-01-01 22:28:56,ACC_00457,+16367925155,+13153380003,67.0,DATA,CELL_00081,MIA,85.68,0,819574545514751,310405293352244
CDR_00000012,2023-01-02 00:22:07,ACC_00287,+12402302611,+13887918121,84.0,VOICE,CELL_00210,NYC,12.35,0,781293993442781,314434742101107
CDR_00000013,2023-01-02 05:44:12,ACC_00457,+18603432751,+18126020834,79.0,VOICE,CELL_00334,HOU,22.72,0,813720926179984,315284117878465
CDR_00000014,2023-01-02 06:17:19,ACC_00420,+18562824477,+12966380734,18.0,SMS,CELL_00464,CHI,41.47,0,561129637645408,315374485988452
CDR_00000015,2023-01-02 06:34:25,ACC_00083,+16950481525,+18371753895,33.0,VOICE,CELL_00105,CHI,40.59,0,516404980977305,310208127376181
CDR_00000016,2023-01-02 06:51:37,ACC_00290,+19699551724,+16312543916,181.0,VOICE,CELL_00449,CHI,27.46,0,633737369848280,313750094259598
CDR_00000017,2023-01-02 06:57:35,ACC_00200,+15816619067,+16866311688,324.0,VOICE,CELL_00015,MIA,92.46,0,891278764195325,315412785106692
CDR_00000018,2023-01-02 08:41:27,ACC_00173,+17279994642,+12190577581,383.0,DATA,CELL_00034,CHI,41.93,0,919892921860993,311648323090660
CDR_00000019,2023-01-02 09:42:32,ACC_00374,+16161473954,+18160832863,115.0,ROAMING,CELL_00185,HOU,57.41,0,649545136297585,316345052785344
CDR_00000020,2023-01-02 10:40:41,ACC_00097,+16000639684,+13409693209,106.0,DATA,CELL_00388,SEA,59.85,0,601493902712374,316502131237109
CDR_00000021,2023-01-02 13:57:21,ACC_00483,+14571704663,+15280558195,11.0,VOICE,CELL_00211,BOS,39.68,0,957028075780172,310482620339190
CDR_00000022,2023-01-02 14:36:35,ACC_00133,+16517288629,+12215278211,79.0,ROAMING,CELL_00003,LA,50.09,0,560839070908569,312272868239335
CDR_00000023,2023-01-02 14:50:33,ACC_00274,+15703663981,+14903220760,45.0,ROAMING,CELL_00481,NYC,5.76,0,590320848587420,314802521221456
CDR_00000024,2023-01-02 14:53:02,ACC_00122,+18689624405,+15583514190,43.0,DATA,CELL_00062,HOU,13.11,0,563709440437850,316888732138516
CDR_00000025,2023-01-02 18:00:38,ACC_00380,+12766291349,+14048046283,165.0,SMS,CELL_00343,SEA,131.75,0,812409260685361,310259208211304
CDR_00000026,2023-01-02 20:20:39,ACC_00089,+15688397822,+15117026192,255.0,DATA,CELL_00275,LA,53.31,0,670902465981085,310337579406609
CDR_00000027,2023-01-02 20:28:06,ACC_00452,+15827808476,+15116775033,786.0,ROAMING,CELL_00151,BOS,32.34,0,626638335615690,314385754976464
CDR_00000028,2023-01-02 23:20:16,ACC_00032,+17021592359,+15383870920,214.0,ROAMING,CELL_00384,SEA,12.88,0,497516187475750,315981019245699
CDR_00000029,2023-01-03 02:41:05,ACC_00337,+15631379485,+19797615960,295.0,ROAMING,CELL_00077,CHI,32.75,0,491439682471560,311014579555657
CDR_00000030,2023-01-03 05:19:34,ACC_00273,+16270893052,+17164896512,98.0,SMS,CELL_00328,NYC,24.24,0,536546136140929,310724388049603
CDR_00000031,2023-01-03 07:10:05,ACC_00100,+13583780008,+16377301511,46.0,SMS,CELL_00359,BOS,32.09,0,739737397288501,316594962239552
CDR_00000032,2023-01-03 10:09:28,ACC_00339,+13495841920,+13944419679,155.0,DATA,CELL_00430,HOU,53.49,0,722419301082106,316423600531757
CDR_00000033,2023-01-03 10:32:21,ACC_00226,+16217897937,+18361669990,19.0,VOICE,CELL_00032,CHI,23.1,0,821182501813748,316102270604868
CDR_00000034,2023-01-03 12:44:43,ACC_00220,+14770672497,+16301261205,122.0,SMS,CELL_00400,NYC,45.62,0,805302158789180,314306875089106
CDR_00000035,2023-01-03 13:00:43,ACC_00446,+14117557917,+16737171260,67.0,VOICE,CELL_00010,BOS,76.48,0,379381775863277,315822102500321
CDR_00000036,2023-01-03 13:28:56,ACC_00383,+15078948583,+16799994744,20.0,SMS,CELL_00216,NYC,26.21,0,484412408363788,310384661843155
CDR_00000037,2023-01-03 14:09:26,ACC_00429,+18680768120,+14317686597,87.0,VOICE,CELL_00277,MIA,105.83,0,680448346152618,315204718714445
CDR_00000038,2023-01-03 15:48:47,ACC_00140,+17504989156,+12310282542,17.0,VOICE,CELL_00432,MIA,24.93,0,621056757717947,312269739731903
CDR_00000039,2023-01-03 16:30:57,ACC_00140,+16193995372,+13137107132,124.0,SMS,CELL_00274,HOU,20.41,0,869106655595687,315620488389523
CDR_00000040,2023-01-03 16:31:37,ACC_00065,+17761074819,+16659578399,238.0,DATA,CELL_00052,LA,63.96,0,747689626594579,316582057660366
CDR_00000041,2023-01-03 17:10:13,ACC_00239,+14498575675,+12694171039,208.0,DATA,CELL_00226,MIA,12.71,0,881674752114335,313411418470056
CDR_00000042,2023-01-03 19:10:28,ACC_00409,+17662717057,+15908597084,148.0,SMS,CELL_00191,BOS,38.79,0,599934311494631,313872444514840
CDR_00000043,2023-01-03 21:23:00,ACC_00290,+17016343530,+18407935506,121.0,DATA,CELL_00173,BOS,70.33,0,753071906629654,315309980161539
CDR_00000044,2023-01-03 22:34:36,ACC_00379,+12718483908,+17975429842,148.0,SMS,CELL_00292,BOS,9.33,0,659118858635470,314643986347222
CDR_00000045,2023-01-04 01:45:06,ACC_00211,+16670269123,+17197810657,21.0,DATA,CELL_00316,BOS,29.4,0,961903500832896,316182802256846
CDR_00000046,2023-01-04 02:34:49,ACC_00260,+18422638158,+17532596003,107.0,DATA,CELL_00172,SEA,54.42,0,569554521787433,316662264892769
CDR_00000047,2023-01-04 02:35:44,ACC_00039,+16053666297,+18713849316,292.0,SMS,CELL_00275,NYC,13.96,0,870067861689899,310443528364648
CDR_00000048,2023-01-04 03:17:07,ACC_00376,+14739822112,+15964782328,377.0,SMS,CELL_00146,MIA,5.32,0,505053681597019,314494722157092
