CDR_ID,Timestamp,Account_ID,Caller_Number,Callee_Number,Duration_Seconds,Call_Type,Cell_ID,Location_Area,Data_Volume_MB,Roaming_Indicator,IMEI,IMSI
CDR_00000000,2023-01-01 00:16:58,ACC_00205,+14746317213,+15688553363,56.0,DATA,CELL_00058,NYC,31.28,0,664445319528519,310821717286704
CDR_00000001,2023-01-01 00:30:29,ACC_00207,+16402387665,+15292091373,153.0,DATA,CELL_00012,HOU,15.03,0,652946393370703,313489192612014
CDR_00000002,2023-01-01 01:24:44,ACC_00067,+13181241943,+18934489080,21.0,SMS,CELL_00157,BOS,83.21,0,608122209045384,314389621989416
CDR_00000003,2023-01-01 01:26:32,ACC_00200,+12958682846,+13128848992,124.0,SMS,CELL_00230,MIA,30.63,0,502345490663811,311651326288685
CDR_00000004,2023-01-01 01:27:54,ACC_00114,+15163119785,+14848475240,132.0,SMS,CELL_00483,NYC,21.25,0,985427465628230,313764631339562
CDR_00000005,2023-01-01 01:34:03,ACC_00107,+19201369453,+19811030212,8.0,DATA,CELL_00032,LA,142.07,0,847184072920795,313998272199292
CDR_00000006,2023-01-01 01:47:38,ACC_00474,+16668366722,+14831513898,25.0,DATA,CELL_00177,SEA,13.73,0,830072805751703,314507414209757
CDR_00000007,2023-01-01 02:55:05,ACC_00493,+13812140441,+19276681306,75.0,DATA,CELL_00265,CHI,13.8,0,901961832391083,313607208113552
CDR_00000008,2023-01-01 03:27:33,ACC_00487,+12127978094,+14077718803,217.0,VOICE,CELL_00259,NYC,149.5,0,727411980781346,316200716224733
CDR_00000009,2023-01-01 03:52:40,ACC_00141,+12939042955,+12742809359,158.0,DATA,CELL_00446,MIA,66.44,0,988368813828009,316199976289851
CDR_00000010,2023-01-01 05:18:10,ACC_00416,+18465451729,+16048368656,248.0,ROAMING,CELL_00010,CHI,4.54,0,732543706169181,313396901538014
CDR_00000011,2023-01-01 05:50:34,ACC_00262,+16408938419,+18306293677,228.0,SMS,CELL_00428,CHI,43.58,0,714818376271970,310929651087139
CDR_00000012,2023-01-01 06:43:34,ACC_00379,+17148968489,+14149551750,86.0,SMS,CELL_00272,LA,37.36,0,895953922573266,316304833557985
CDR_00000013,2023-01-01 06:50:30,ACC_00284,+19086199689,+13723531146,117.0,ROAMING,CELL_00051,LA,15.76,0,690043648392125,316352708719608
CDR_00000014,2023-01-01 07:27:12,ACC_00314,+14340505846,+12446085584,304.0,SMS,CELL_00179,MIA,128.95,0,408113040748959,311628621941515
CDR_00000015,2023-01-01 07:34:58,ACC_00437,+12946785248,+13471493585,162.0,ROAMING,CELL_00015,CHI,49.58,0,876614721081931,315334400250610
CDR_00000016,2023-01-01 07:36:15,ACC_00368,+14530876844,+19078783796,53.0,DATA,CELL_00138,MIA,48.27,0,449419838051139,311278409321736
CDR_00000017,2023-01-01 07:58:15,ACC_00432,+19771444619,+19435571327,52.0,SMS,CELL_00294,MIA,209.63,0,611409091732868,316791339373920
CDR_00000018,2023-01-01 08:29:14,ACC_00273,+16322879263,+14095076439,55.0,VOICE,CELL_00125,NYC,73.66,0,562409181746586,316909624928606
CDR_00000019,2023-01-01 08:58:43,ACC_00059,+15460967357,+12409012649,82.0,ROAMING,CELL_00304,HOU,29.93,0,802175097291089,316317869655147
CDR_00000020,2023-01-01 09:03:47,ACC_00410,+14998485882,+14293371827,54.0,SMS,CELL_00407,SEA,37.43,0,600820999550998,314296735815832
CDR_00000021,2023-01-01 09:13:29,ACC_00089,+13461364854,+13606715298,25.0,ROAMING,CELL_00165,NYC,28.81,0,743315507352282,314165407833107
